Date 20.07.2020 15:06:39
Wavelength / nm,Intensity / a.u.
Data
389.62738,21658.0
389.63351,21760.0
389.63962,21777.0
389.64572,21997.0
389.65182,22162.0
389.65793,22479.0
389.66406,22716.0
389.67017,22706.0
389.67627,22685.0
389.68237,22549.0
389.68848,22339.0
389.69458,22213.0
389.70071,21869.0
389.70682,21797.0
389.71292,21741.0
389.71902,21671.0
389.72513,21667.0
389.73123,21601.0
389.73737,21951.0
389.74347,22239.0
389.74957,22587.0
389.75568,23008.0
389.76178,23130.0
389.76788,23218.0
389.77399,23100.0
389.78012,22997.0
389.78622,22700.0
389.79233,22620.0
389.79843,22769.0
389.80453,23518.0
389.81064,24599.0
389.81674,25507.0
389.82285,25848.0
389.82898,26416.0
389.83508,26947.0
389.84119,27664.0
389.84729,27978.0
389.85339,27313.0
389.8595,26400.0
389.8656,25973.0
389.8717,25310.0
389.87781,24244.0
389.88394,23088.0
389.89005,22270.0
389.89615,21828.0
389.90225,21669.0
389.90836,21777.0
389.91446,21686.0
389.92056,21696.0
389.92667,21722.0
389.93277,21781.0
389.93887,21878.0
389.94498,21787.0
389.95111,21830.0
389.95721,21816.0
389.96332,21840.0
389.96942,21770.0
389.97552,21792.0
389.98163,21793.0
389.98773,21770.0
389.99384,21845.0
389.99994,21914.0
390.00604,21857.0
390.01215,21770.0
390.01825,21804.0
390.02435,21847.0
390.03046,21784.0
390.03656,21787.0
390.04266,21833.0
390.0488,21845.0
390.0549,21854.0
390.061,21736.0
390.06711,21809.0
390.07321,21825.0
390.07932,21786.0
390.08542,21696.0
390.09152,21725.0
390.09763,21708.0
390.10373,21700.0
390.10983,21685.0
390.11594,21721.0
390.12204,21670.0
390.12814,21724.0
390.13425,21667.0
390.14035,21871.0
390.14645,22167.0
390.15256,22753.0
390.15866,23849.0
390.16476,25194.0
390.17087,25846.0
390.17697,26644.0
390.18307,27553.0
390.18918,28638.0
