Date 25.02.2020 12:23:21
Wavelength / nm,Intensity / a.u.
Data
432.92938,16020.0
432.93527,16337.0
432.94116,17016.0
432.94702,18199.0
432.95291,19284.0
432.9588,19742.0
432.96469,19350.0
432.97058,18549.0
432.97647,17505.0
432.98233,17015.0
432.98822,16645.0
432.99411,16645.0
433.0,16625.0
433.00589,16844.0
433.01178,17333.0
433.01764,17733.0
433.02353,17773.0
433.02942,17413.0
433.03531,16725.0
433.0412,16056.0
433.04709,15563.0
433.05295,15463.0
433.05884,15360.0
433.06473,15276.0
433.07062,15343.0
433.07651,15338.0
433.08237,15402.0
433.08826,15513.0
433.09415,15588.0
433.10004,15481.0
433.10593,15392.0
433.11179,15383.0
433.11768,15326.0
433.12357,15211.0
433.12946,15385.0
433.13535,15397.0
433.1412,15269.0
433.14709,15381.0
433.15298,15139.0
433.15887,15178.0
433.16476,15278.0
433.17062,15244.0
433.17651,15403.0
433.1824,15494.0
433.18829,15486.0
433.19415,15716.0
433.20004,15732.0
433.20593,15705.0
433.21182,15607.0
433.21768,15603.0
433.22357,15724.0
433.22946,15548.0
433.23535,15952.0
433.24121,16027.0
433.2471,16165.0
433.25299,16279.0
433.25888,16283.0
433.26474,16134.0
433.27063,15901.0
433.27652,15739.0
433.28241,15566.0
433.28827,15410.0
433.29416,15364.0
433.30005,15231.0
433.30594,15213.0
433.3118,15151.0
433.31769,15212.0
433.32358,15314.0
433.32947,15447.0
433.33533,15423.0
433.34122,15612.0
433.34711,15561.0
433.35297,15452.0
433.35886,15449.0
433.36475,15560.0
433.37061,15813.0
433.3765,16078.0
433.38239,16383.0
433.38828,16485.0
433.39413,16553.0
433.40002,16481.0
433.40591,16196.0
433.41177,16036.0
433.41766,15728.0
433.42355,15510.0
433.42941,15475.0
433.4353,15471.0
433.44119,15567.0
433.44705,15735.0
433.45294,16195.0
433.45883,16730.0
433.46469,17365.0
433.47058,17348.0
433.47647,17167.0
433.48236,16614.0
433.48822,16054.0
433.49411,15645.0
433.49997,15329.0
433.50586,15270.0
433.51175,15305.0
433.51761,15482.0
433.5235,15521.0
433.52939,15738.0
433.53525,15905.0
433.54114,16103.0
433.54703,16364.0
433.55289,16441.0
433.55878,16254.0
433.56467,15905.0
433.57053,15650.0
433.57642,15326.0
433.58231,15269.0
433.58817,15177.0
433.59406,15214.0
433.59991,15246.0
433.6058,15274.0
433.61169,15627.0
433.61755,15981.0
433.62344,16389.0
433.6293,16630.0
433.63519,16655.0
433.64108,16378.0
433.64694,15843.0
433.65283,15650.0
433.65872,15568.0
433.66458,15732.0
433.67047,15763.0
433.67633,16035.0
433.68222,15973.0
433.68811,15819.0
433.69397,15753.0
433.69986,15684.0
433.70572,15607.0
433.71161,15478.0
433.71747,15509.0
433.72336,15629.0
433.72925,15943.0
433.73511,16338.0
433.741,16505.0
433.74686,16626.0
433.75275,16710.0
433.75861,16465.0
433.7645,16203.0
433.77039,15769.0
433.77625,15570.0
433.78214,15426.0
433.78799,15421.0
433.79388,15442.0
433.79974,15380.0
433.80563,15365.0
433.81152,15454.0
433.81738,15592.0
433.82327,15659.0
433.82913,15779.0
433.83502,15964.0
433.84088,16192.0
433.84677,16469.0
433.85263,17004.0
433.85852,17436.0
433.86438,17531.0
433.87027,17758.0
433.87613,17732.0
433.88202,17622.0
433.88788,17473.0
433.89377,17090.0
433.89966,16840.0
433.90552,16782.0
433.91141,16946.0
433.91727,17378.0
433.92316,17933.0
433.92902,18316.0
433.93491,18731.0
433.94077,18701.0
433.94666,18663.0
433.95251,18334.0
433.9584,17993.0
433.96426,17795.0
433.97015,17859.0
433.97601,18035.0
433.9819,18616.0
433.98776,19138.0
433.99365,20149.0
433.99951,21616.0
434.00537,24298.0
434.01126,29952.0
434.01712,41760.0
434.02301,63535.0
434.02887,98327.0
434.03476,141609.0
434.04062,183316.0
434.04651,207482.0
434.05237,203911.0
434.05826,174374.0
434.06412,131227.0
434.07001,87506.0
434.07587,54544.0
434.08176,35225.0
434.08762,25530.0
434.09348,21247.0
434.09937,19320.0
434.10522,18318.0
434.11111,17734.0
434.11697,17411.0
434.12286,17179.0
434.12872,17107.0
434.13461,17330.0
