Date and Time:                Thu Oct 22 13:46:56.417 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Accumulate Cycle Time (secs): 0.2
Frequency (Hz):               5
Number of Accumulations:      120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              388
389.16415	429
389.17032	451
389.17648	425
389.18262	408
389.18878	466
389.19495	444
389.20108	462
389.20724	435
389.21341	417
389.21954	427
389.22571	455
389.23187	401
389.23801	484
389.24417	438
389.25034	464
389.25647	373
389.26263	414
389.26877	400
389.27493	375
389.2811	418
389.28723	385
389.2934	418
389.29956	440
389.30569	372
389.31186	406
389.31799	377
389.32416	425
389.33032	421
389.33646	413
389.34262	407
389.34879	397
389.35492	447
389.36108	377
389.36722	421
389.37338	369
389.37955	415
389.38568	393
389.39185	383
389.39798	372
389.40414	415
389.41031	402
389.41644	378
389.42261	407
389.42874	443
389.43491	429
389.44104	508
389.4472	450
389.45337	463
389.4595	451
389.46567	463
389.4718	415
389.47797	435
389.48413	495
389.49026	412
389.49643	439
389.50256	426
389.50873	411
389.51486	372
389.52103	449
389.52716	395
389.53333	442
389.53949	393
389.54562	437
389.55179	392
389.55792	384
389.56409	403
389.57022	396
389.57639	429
389.58252	413
389.58868	438
389.59482	377
389.60098	412
389.60715	413
389.61328	431
389.61945	396
389.62558	412
389.63174	401
389.63788	419
389.64404	409
389.65018	400
389.65634	421
389.66248	419
389.66864	432
389.67477	413
389.68094	411
389.68707	426
389.69324	470
389.69937	425
389.70554	381
389.71167	408
389.71783	373
389.72397	401
389.73013	422
389.73627	406
389.74243	397
389.74857	446
389.75473	484
389.76086	418
389.76703	459
389.77316	421
389.77933	441
389.78546	449
389.79163	435
389.79776	426
389.80392	401
389.81006	402
389.81622	409
389.82236	418
389.82849	387
389.83466	404
389.84079	390
389.84695	407
389.85309	399
389.85925	428
389.86539	402
389.87155	405
389.87769	415
389.88385	415
389.88998	401
389.89612	384
389.90228	326
389.90842	412
389.91458	396
389.92072	405
389.92688	427
389.93301	415
389.93918	439
389.94531	416
389.95145	416
389.95761	392
389.96375	422
389.96991	423
389.97604	458
389.98221	397
389.98834	421
389.99448	428
390.00064	365
390.00677	405
390.01294	400
390.01907	375
390.02521	388
390.03137	370
390.03751	424
390.04367	436
390.0498	402
390.05594	389
390.0621	382
390.06824	420
390.0744	423
390.08054	458
390.08667	416
390.09283	438
390.09897	446
390.10513	480
390.11127	472
390.1174	470
390.12357	443
390.1297	469
390.13583	460
390.142	456
390.14813	467
390.1543	422
390.16043	395
390.16656	446
390.17273	406
390.17886	467
390.185	382
390.19116	402
390.1973	444
390.20343	447
390.20959	426
390.21573	441
390.22186	426
390.22803	414
390.23416	412
390.2403	386
390.24646	391
390.25259	384
390.25873	419
390.26489	407
390.27103	420
390.27716	419
390.28333	415
390.28946	395
390.29559	386
390.30176	425
390.30789	382
390.31403	368
390.32019	441
390.32632	399
390.33246	373
390.33862	396
390.34476	405
390.35089	427
390.35706	429
390.36319	416
390.36932	368
390.37546	436
390.38162	385
390.38776	372
390.39389	378
390.40005	404
390.40619	402
390.41232	391
390.41849	380
390.42462	361
390.43076	382
390.43689	448
390.44305	421
390.44919	409
390.45532	413
390.46146	398
390.46762	389
390.47375	358
390.47989	433
390.48605	419
390.49219	426
390.49832	426
390.50446	466
390.51062	457
390.51675	472
390.52289	465
390.52902	451
390.53519	462
390.54132	466
390.54745	426
390.55359	415
390.55975	417
390.56589	425
390.57202	375
390.57816	411
390.58432	393
390.59045	413
390.59659	405
390.60272	410
390.60886	406
