Date and Time:                Wed May 6 09:05:29.406 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
220.16557	27.6429
220.19847	28.2984
220.23137	27.369
220.26427	24.369
220.29716	23.6962
220.33006	25.6895
220.36296	28.3886
220.39586	31.2104
220.42876	28.701
220.46165	25.4654
220.49454	25.3028
220.52744	23.3023
220.56033	22.9056
220.59323	27.0916
220.62613	29.2719
220.65903	27.8343
220.69193	23.8234
220.72482	21.9046
220.75772	23.0015
220.79062	23.753
220.8235	24.8681
220.8564	28.2194
220.8893	29.2841
220.9222	28.4621
220.95509	30.5108
220.98799	32.7694
221.02089	33.656
221.05379	28.6485
221.08669	21.4737
221.11958	18.0122
221.15248	20.6262
221.18536	26.8982
221.21826	30.95
221.25116	31.6231
221.28406	29.9104
221.31696	26.7882
221.34985	24.0863
221.38275	27.2417
221.41565	34.7215
221.44855	36.6196
221.48145	34.7145
221.51434	34.5518
221.54723	33.1581
221.58012	29.0927
221.61302	27.5235
221.64592	31.4675
221.67882	36.4423
221.71172	38.0339
221.74461	38.9775
221.77751	41.6637
221.81041	42.4402
221.84331	38.7249
221.87621	32.8678
221.90909	29.4532
221.94199	30.8163
221.97488	36.6743
222.00778	40.7988
222.04068	38.8589
222.07358	37.1601
222.10648	35.0955
222.13937	35.5219
222.17227	38.3079
222.20517	39.1623
222.23807	37.4044
222.27095	32.9977
222.30385	30.4615
222.33675	32.7458
222.36964	36.5245
222.40254	39.4616
222.43544	40.7255
222.46834	42.5703
222.50124	44.1965
222.53413	42.3339
222.56703	38.805
222.59993	33.8752
222.63281	30.9579
222.66571	32.6885
222.69861	36.6365
222.73151	40.2579
222.7644	41.9
222.7973	39.2287
222.8302	34.3128
222.8631	33.9202
222.896	34.7812
222.92889	35.4425
222.96178	36.7319
222.99467	36.1658
223.02757	34.9606
223.06047	36.0539
223.09337	41.8166
223.12627	45.5731
223.15916	38.9335
223.19206	35.3735
223.22496	32.303
223.25786	30.5364
223.29076	31.295
223.32364	34.1829
223.35654	36.4791
223.38943	36.3399
223.42233	38.5478
223.45523	41.4374
223.48813	35.3371
223.52103	27.9187
223.55392	25.5894
223.58682	24.2117
223.61972	21.347
223.65262	18.0096
223.6855	14.7787
223.7184	12.7822
223.7513	10.3702
223.78419	7.3063
223.81709	7.77696
223.84999	13.0687
223.88289	17.8443
223.91579	20.1132
223.94868	18.922
223.98158	13.8074
224.01448	8.93324
224.04736	7.01909
224.08026	7.17624
224.11316	10.0336
224.14606	14.9318
224.17896	15.752
224.21185	10.9531
224.24475	5.89578
224.27765	3.97758
224.31055	7.37289
224.34344	18.6498
224.37634	23.6944
224.40923	17.0456
224.44212	9.85382
224.47502	5.78253
224.50792	4.67997
224.54082	8.14135
224.57372	12.8896
224.60661	15.5133
224.63951	17.4443
224.67241	17.6423
224.70531	14.2325
224.7382	10.3678
224.77109	11.3532
224.80399	16.1038
224.83688	16.6864
224.86978	11.7176
224.90268	10.2988
224.93558	8.55851
224.96848	5.46152
225.00137	6.60858
225.03427	11.0677
225.06717	16.368
225.10005	19.0613
225.13295	17.7941
225.16585	16.1281
225.19875	14.0038
225.23164	10.0351
225.26454	12.182
225.29744	18.4286
225.33034	20.1734
225.36324	20.9362
225.39613	21.1465
225.42903	22.4021
225.46191	24.2347
225.49481	21.3802
225.52771	14.309
225.56061	9.10724
225.59351	11.3391
225.6264	13.478
225.6593	10.4953
225.6922	7.88111
225.7251	8.92617
225.758	11.5048
225.79089	12.0071
225.82378	10.211
225.85667	8.46059
225.88957	9.43709
225.92247	9.0928
225.95537	6.08291
225.98827	8.52656
226.02116	16.2642
226.05406	19.3941
226.08696	18.3454
226.11986	18.4051
226.15276	18.5427
226.18564	15.023
226.21854	13.595
226.25143	17.0991
226.28433	17.6205
226.31723	17.9864
226.35013	19.9177
226.38303	20.4697
226.41592	17.8616
226.44882	18.1578
226.48172	19.2361
226.51462	14.536
226.5475	8.35686
226.5804	7.11438
226.6133	9.52688
226.64619	10.9242
226.67909	10.4472
226.71199	9.36445
226.74489	10.9358
226.77779	14.9043
226.81068	17.0996
226.84358	12.575
226.87648	7.42452
226.90936	9.91453
226.94226	15.3874
226.97516	16.697
227.00806	13.6942
227.04095	8.79685
227.07385	6.659
227.10675	8.80385
227.13965	15.0445
227.17255	20.7342
227.20544	23.989
227.23833	24.5022
227.27122	22.9292
227.30412	21.7108
227.33702	23.2171
227.36992	25.0909
227.40282	20.4018
227.43571	10.3488
227.46861	7.82503
227.50151	15.7726
227.53441	18.8788
227.56731	15.2543
227.60019	15.3979
227.63309	15.6921
227.66599	15.0831
227.69888	16.6295
227.73178	15.4044
227.76468	8.47514
227.79758	4.76659
227.83047	6.52398
227.86337	7.89864
227.89627	7.2165
227.92917	5.83063
227.96205	7.89925
227.99495	7.03517
228.02785	7.62838
228.06075	15.2233
228.09364	19.7525
228.12654	19.1373
228.15944	15.1009
228.19234	9.4904
